year,tip_range_index,count,ratio_of_year
2017,0,3146526,0.04149021110741199
2017,1,560241,0.007387359062352448
2017,2,4559184,0.060117573043265815
2017,3,8569808,0.1130018131329562
2017,4,39490739,0.5207263813798798
2017,5,13053178,0.17211969989843587
2017,6,4901555,0.06463209002709362
2017,7,926463,0.01221637623627017
2017,8,183128,0.0024147327496032585
2017,9,446970,0.005893763362730814
2018,0,3334640,0.04723493524503201
2018,1,499507,0.007075480651416706
2018,2,4155976,0.05886910048458219
2018,3,8016790,0.11355725251392058
2018,4,36798415,0.5212468961101692
2018,5,11794936,0.16707441828182257
2018,6,4500457,0.06374864901999946
2018,7,896393,0.01269734223457404
2018,8,169983,0.002407796942925256
2018,9,429803,0.0060881285155580485
2019,0,2219689,0.03705105646527531
2019,1,598858,0.009996139807280138
2019,2,5083474,0.08485336559029617
2019,3,6986185,0.1166134241832344
2019,4,31850328,0.5316457851372598
2019,5,8982033,0.1499281259023071
2019,6,3174797,0.05299372250472325
2019,7,699547,0.011676840943534859
2019,8,87966,0.001468328776249469
2019,9,226049,0.0037732106898394407
2020,0,541756,0.031456718212532646
2020,1,180859,0.010501463018776797
2020,2,1492847,0.08668121333852274
2020,3,2049181,0.1189843938663824
2020,4,8827158,0.51254332545187
2020,5,2670111,0.15503830012622613
2020,6,1085729,0.06304216512262875
2020,7,243270,0.014125318112882585
2020,8,34275,0.0019901561159166793
2020,9,97081,0.005636946634261331
2021,0,793406,0.0357314699907461
2021,1,233123,0.010498820879414452
2021,2,1785186,0.08039682077889512
2021,3,2340174,0.10539100669030012
2021,4,11309388,0.5093244290258758
2021,5,3565275,0.16056409539536792
2021,6,1603375,0.07220886367939305
2021,7,354944,0.015985095757273554
2021,8,58061,0.002614808659290085
2021,9,161752,0.007284589143443789
